Ticket_ID,Date,User_Type,Unit_Dept,Issue_Category,Issue_Description,Priority,Response_Time_Hrs,Resolution_Time_Hrs,Status,Resolved,Response_SLA,Is_Delayed,Resolution_Category
HD0044,2026-08-31,Staff,College of Computing Sciences,Software/MIS,MIS application not responding,High,2.48,10.59,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0045,2026-08-12,Postgraduate Student,Student Affairs,Admission,Admission application issue,High,1.12,36.31,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0046,2026-03-03,Staff,College of Engineering,Internet/Network,Network connection unavailable,High,1.58,14.6,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0047,2026-06-18,Staff,Student Affairs,Internet/Network,Wi-Fi connection unstable,Critical,0.54,8.08,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0048,2026-06-02,Student,College of Computing Sciences,Admission,Admission status not displaying,High,1.21,17.15,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0049,2026-02-03,Staff,College of Engineering,Portal,Student profile not displaying correctly,Medium,3.06,4.71,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0050,2026-06-29,Staff,College of Agricultural Management,Email,University email not working,Medium,2.61,3.94,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0051,2026-06-13,Student,College of Agricultural Management,Admission,Admission status not displaying,High,0.69,4.73,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0052,2026-03-29,Postgraduate Student,Academic Planning,Software/MIS,Software installation request,Medium,2.15,3.99,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0053,2026-06-11,Student,College of Veterinary Medicine,Payment/Invoice,Receipt cannot be generated,Medium,2.38,7.15,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0054,2026-03-28,Student,Library,Registration,Course allocation not updating,High,4.23,7.41,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0055,2026-06-23,Student,Postgraduate School,Registration,Registered course not displaying,Medium,3.0,4.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0056,2026-06-10,Student,Library,Payment/Invoice,Invoice not generated,Low,1.32,13.15,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0057,2026-06-21,Student,College of Food Science,Registration,Course allocation not updating,Medium,2.69,25.76,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0058,2026-05-03,Postgraduate Student,Library,Clearance,Unable to complete online clearance,High,1.35,8.04,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0059,2026-05-28,Student,College of Animal Science,Internet/Network,Cannot access campus Internet,High,1.47,3.64,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0060,2026-04-29,Student,College of Food Science,Student Information,Student information request,Medium,4.87,37.23,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0061,2026-06-14,Postgraduate Student,ICTREC,Registration,Unable to submit course registration,High,2.32,3.66,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0062,2026-02-09,Student,Student Affairs,Registration,Unable to submit course registration,Medium,5.62,2.09,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0063,2026-04-21,Student,Registry,Payment/Invoice,Receipt cannot be generated,Medium,3.59,22.84,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0064,2026-06-01,Staff,Academic Planning,Software/MIS,Application access problem,High,0.87,24.88,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0065,2026-04-22,Staff,Student Affairs,Portal,Portal session keeps expiring,High,1.58,3.64,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0066,2026-04-14,Postgraduate Student,College of Animal Science,Admission,Admission application issue,Low,1.62,2.79,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0067,2026-05-21,Postgraduate Student,ICTREC,Admission,O'Level verification problem,High,0.84,8.47,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0068,2026-01-17,Student,Registry,Payment/Invoice,Receipt cannot be generated,Low,2.29,8.22,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0069,2026-04-22,Student,Postgraduate School,Payment/Invoice,Receipt cannot be generated,Low,2.47,2.43,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0070,2026-03-03,Student,College of Food Science,Portal,Programme information not updating,Low,5.94,0.97,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0071,2026-01-10,Postgraduate Student,College of Computing Sciences,Hardware,Desktop computer not starting,High,1.7,22.74,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0072,2026-07-03,Staff,College of Veterinary Medicine,Internet/Network,Wi-Fi connection unstable,Medium,1.07,6.89,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0073,2026-03-25,Student,College of Food Science,Payment/Invoice,Payment not reflecting on portal,High,1.73,11.64,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0074,2026-01-24,Staff,College of Environmental Resources,Portal,Portal session keeps expiring,Medium,1.32,1.68,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0075,2026-02-04,Student,Registry,Software/MIS,Software installation request,High,2.0,29.77,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0076,2026-01-08,Postgraduate Student,College of Agricultural Management,Portal,Student profile not displaying correctly,Low,4.36,40.54,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0077,2026-07-11,Staff,College of Veterinary Medicine,Portal,Portal session keeps expiring,Medium,1.79,4.62,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0078,2026-06-05,Postgraduate Student,College of Plant Science,ID Card,Unable to process ID card,Medium,3.05,2.69,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0079,2026-06-10,Student,Student Affairs,Website/Multimedia,Multimedia support request,Low,10.6,2.95,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0080,2026-04-02,Postgraduate Student,Bursary,Payment/Invoice,Receipt cannot be generated,Low,1.97,4.6,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0081,2026-05-10,Student,College of Plant Science,Email,Unable to access staff email,Low,2.22,4.17,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0082,2026-04-18,Staff,College of Veterinary Medicine,Internet/Network,Slow Internet connection,Medium,4.92,9.81,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0083,2026-05-25,Student,College of Plant Science,Payment/Invoice,Outstanding invoice still showing after payment,Medium,4.42,7.19,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0084,2026-07-14,Student,Library,Admission,Admission status not displaying,Medium,4.09,16.77,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0085,2026-06-04,Student,Library,Hardware,Printer not responding,High,1.31,28.03,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0086,2026-07-05,Postgraduate Student,Student Affairs,Payment/Invoice,Invoice not generated,Medium,1.59,3.24,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0087,2026-08-15,Student,College of Plant Science,Internet/Network,Network connection unavailable,Medium,2.49,10.31,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0088,2026-01-18,Staff,College of Animal Science,Portal,Portal session keeps expiring,Medium,3.03,6.8,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0089,2026-01-18,Student,ICTREC,Website/Multimedia,University webpage not updating,Medium,2.62,36.51,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0090,2026-06-09,Staff,Registry,Software/MIS,MIS application not responding,Low,3.29,21.49,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0091,2026-04-24,Student,Academic Planning,ID Card,Unable to process ID card,Low,5.36,1.34,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0092,2026-01-25,Staff,Registry,ID Card,ID card details incorrect,Medium,1.44,5.85,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0093,2026-05-05,Student,Bursary,Internet/Network,Wi-Fi connection unstable,Medium,2.3,9.72,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0094,2026-03-13,Postgraduate Student,Student Affairs,Internet/Network,Slow Internet connection,Low,4.93,32.25,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0095,2026-08-04,Student,College of Plant Science,Admission,Admission application issue,Medium,1.63,1.83,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0096,2026-05-04,Staff,College of Environmental Resources,Portal,Programme information not updating,High,1.17,8.82,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0097,2026-03-28,Student,College of Animal Science,Admission,O'Level verification problem,Low,4.27,3.65,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0098,2026-08-03,Student,College of Veterinary Medicine,Portal,Programme information not updating,Medium,2.86,19.96,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0099,2026-02-20,Student,College of Animal Science,Portal,Programme information not updating,Medium,1.6,24.31,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0100,2026-01-31,Student,College of Animal Science,Software/MIS,Software installation request,Medium,2.68,19.85,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0101,2026-02-03,Student,College of Agricultural Management,Admission,Admission portal error,Low,4.63,22.98,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0102,2026-04-07,Student,College of Plant Science,Email,Email messages not being received,Medium,4.72,9.09,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0103,2026-04-27,Postgraduate Student,Library,Registration,Unable to submit course registration,Medium,1.22,26.36,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0104,2026-01-08,Postgraduate Student,College of Environmental Resources,Portal,Portal page not loading,Medium,3.45,5.55,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0105,2026-08-31,Student,College of Animal Science,Portal,Unable to login to student portal,Medium,3.45,48.6,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0106,2026-04-13,Student,College of Animal Science,Registration,Course allocation not updating,Low,5.2,5.93,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0107,2026-04-21,Postgraduate Student,ICTREC,Email,University email not working,Low,6.42,3.82,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0108,2026-06-04,Staff,ICTREC,Hardware,Desktop computer not starting,Low,3.2,6.82,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0109,2026-04-11,Student,College of Animal Science,ID Card,ID card not yet available,Medium,1.7,3.67,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0110,2026-04-20,Staff,Library,Payment/Invoice,Outstanding invoice still showing after payment,Medium,1.99,5.8,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0111,2026-06-20,Postgraduate Student,College of Agricultural Management,Admission,O'Level verification problem,Critical,2.86,26.8,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0112,2026-04-27,Postgraduate Student,College of Environmental Resources,Portal,Student profile not displaying correctly,High,2.19,1.77,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0113,2026-03-13,Postgraduate Student,College of Agricultural Management,Clearance,Unable to complete online clearance,Low,2.93,5.75,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0114,2026-07-07,Student,College of Engineering,Admission,Admission portal error,Medium,2.69,26.49,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0115,2026-04-26,Staff,College of Veterinary Medicine,Email,Password reset required for email,Critical,0.54,37.94,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0116,2026-03-21,Student,College of Food Science,Admission,Change of course not reflecting,High,1.0,28.58,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0117,2026-06-12,Student,College of Environmental Resources,Registration,Registered course not displaying,Low,3.9,7.75,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0118,2026-08-23,Student,College of Animal Science,Registration,Unable to submit course registration,Medium,8.45,43.85,Pending,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0119,2026-06-30,Student,College of Engineering,Admission,Admission portal error,Low,1.25,3.01,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0120,2026-04-06,Student,College of Agricultural Management,Software/MIS,System error during data entry,Low,2.64,6.38,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0121,2026-06-29,Staff,College of Computing Sciences,Others,System access request,Low,2.46,46.89,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0122,2026-07-29,Student,Academic Planning,Clearance,Clearance record not displaying,High,1.98,11.61,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0123,2026-06-19,Student,Postgraduate School,ID Card,ID card details incorrect,Medium,1.34,3.44,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0124,2026-07-15,Student,College of Environmental Resources,Hardware,Keyboard or mouse not working,High,1.16,17.41,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0125,2026-08-05,Postgraduate Student,Academic Planning,Internet/Network,Network connection unavailable,Medium,6.87,7.95,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0126,2026-01-24,Staff,Student Affairs,Clearance,Clearance record not displaying,High,0.75,12.01,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0127,2026-01-08,Postgraduate Student,College of Agricultural Management,Student Information,Student information request,Medium,8.35,7.77,Closed,Yes,Beyond 8 Hours,No,Fast (< 8 hrs)
HD0128,2026-09-02,Staff,College of Veterinary Medicine,Portal,Student profile not displaying correctly,Medium,1.13,2.9,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0129,2026-06-19,Student,Academic Planning,Admission,Admission portal error,Medium,5.22,3.09,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0130,2026-05-11,Postgraduate Student,Student Affairs,Software/MIS,System error during data entry,Low,4.85,12.7,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0131,2026-07-14,Postgraduate Student,Bursary,Internet/Network,Slow Internet connection,Medium,1.56,5.88,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0132,2026-06-11,Student,Bursary,Email,Email messages not being received,Medium,0.44,2.36,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0133,2026-04-07,Student,Library,Student Information,Academic information not updated,Medium,2.26,1.77,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0134,2026-02-05,Postgraduate Student,College of Veterinary Medicine,Admission,Change of course not reflecting,Low,9.33,40.62,In Progress,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0135,2026-02-06,Student,College of Veterinary Medicine,Portal,Programme information not updating,Critical,0.63,20.05,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0136,2026-03-30,Postgraduate Student,Library,Software/MIS,Application access problem,Low,8.4,39.12,Pending,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0137,2026-02-02,Postgraduate Student,Bursary,Email,Unable to access staff email,Medium,4.93,4.61,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0138,2026-02-06,Student,College of Engineering,Portal,Portal page not loading,Medium,1.52,28.1,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0139,2026-03-02,Student,College of Engineering,Admission,Admission portal error,Medium,2.9,7.82,In Progress,No,Within 8 Hours,No,Fast (< 8 hrs)
HD0140,2026-01-20,Postgraduate Student,College of Plant Science,Hardware,Keyboard or mouse not working,Medium,2.7,41.59,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0141,2026-01-21,Student,Academic Planning,Registration,Course allocation not updating,Low,4.04,15.34,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0142,2026-05-01,Student,College of Engineering,ID Card,Unable to process ID card,Critical,1.91,3.13,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0143,2026-04-30,Student,College of Veterinary Medicine,Registration,Registration page not responding,Medium,8.4,23.38,In Progress,No,Beyond 8 Hours,No,Medium (8 hrs - 1 week)
HD0144,2026-03-11,Staff,College of Agricultural Management,Software/MIS,Application error during transaction,Medium,2.39,9.85,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0145,2026-07-13,Staff,Registry,Internet/Network,Wi-Fi connection unstable,High,1.75,11.63,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0146,2026-04-20,Student,College of Environmental Resources,Portal,Programme information not updating,Medium,2.32,2.88,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0147,2026-04-05,Postgraduate Student,College of Food Science,Admission,Admission status not displaying,Critical,0.58,13.9,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0148,2026-02-03,Student,Library,Registration,Course registration error,Medium,3.16,30.11,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0149,2026-01-11,Postgraduate Student,Postgraduate School,Software/MIS,Application access problem,Medium,4.26,8.21,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0150,2026-04-01,Student,Bursary,ID Card,ID card not yet available,Medium,4.07,6.44,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0151,2026-01-12,Student,College of Environmental Resources,Internet/Network,Slow Internet connection,Low,2.41,2.32,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0152,2026-07-22,Staff,College of Engineering,Email,Unable to access staff email,Medium,3.92,31.04,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0153,2026-04-23,Student,Bursary,Website/Multimedia,Website page not displaying correctly,Low,3.76,7.27,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0154,2026-06-05,Student,College of Plant Science,Registration,Course registration error,Medium,5.25,13.07,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0155,2026-02-28,Student,College of Environmental Resources,Admission,Admission status not displaying,Low,5.13,38.09,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0156,2026-07-04,Student,College of Food Science,Payment/Invoice,Receipt cannot be generated,Low,3.37,6.13,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0157,2026-08-28,Student,Registry,Email,Email messages not being received,High,2.36,20.26,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0158,2026-03-29,Student,College of Food Science,Payment/Invoice,Receipt cannot be generated,Low,7.79,3.04,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0159,2026-03-08,Postgraduate Student,Academic Planning,Student Information,Matriculation information issue,Low,5.53,1.77,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0160,2026-01-24,Student,Student Affairs,Registration,Unable to submit course registration,Low,4.54,2.6,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0161,2026-06-19,Postgraduate Student,Library,Portal,Student profile not displaying correctly,Medium,2.74,15.92,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0162,2026-01-24,Student,Bursary,Portal,Programme information not updating,Low,2.42,8.44,Closed,Yes,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0163,2026-08-29,Staff,College of Animal Science,Hardware,Computer system performance is slow,High,0.86,33.01,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0164,2026-03-23,Staff,ICTREC,Others,Request for technical assistance,Low,7.18,30.84,Pending,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
HD0165,2026-01-24,Student,College of Animal Science,Payment/Invoice,Payment not reflecting on portal,Low,5.36,4.51,Closed,Yes,Within 8 Hours,No,Fast (< 8 hrs)
HD0166,2026-05-26,Student,College of Environmental Resources,Others,Other ICT service issue,Medium,2.58,37.03,In Progress,No,Within 8 Hours,No,Medium (8 hrs - 1 week)
